,Japan_cases,China_cases,United States_cases,Brazil_cases,Sweden_cases,Taiwan_cases,South Korea_cases,Iceland_cases,Central African Republic_cases,Turkey_cases
Japan_cases,1.0,-0.47885317677564654,0.7317287969167234,-0.10764572594637006,0.4120886210226324,0.5759738699674911,-0.26804079490121624,0.46210265712566045,-0.8475350361703967,0.9963008098935987
China_cases,-0.47885317677564654,1.0,-0.7121254634873303,-0.42651645887322936,-0.6726670498350318,-0.22834687947056115,0.02863140102770491,-0.35163936109720506,-0.5804278195703788,0.7152865953443143
United States_cases,0.7317287969167234,-0.7121254634873303,1.0,0.5660683104918867,0.9031081411749674,0.23095779978859995,-0.4804963293808551,0.15334661741331204,-0.46081220204311873,0.7800648722039086
Brazil_cases,-0.10764572594637006,-0.42651645887322936,0.5660683104918867,1.0,0.8549826320233409,-0.4074388824295078,-0.3318659672813575,-0.36675700540848943,0.9911999191512626,-0.8768508893022772
Sweden_cases,0.4120886210226324,-0.6726670498350318,0.9031081411749674,0.8549826320233409,1.0,-0.06149174653746673,-0.4297450877036458,-0.06024048897665104,0.9157041126680202,-0.61812875573988
Taiwan_cases,0.5759738699674911,-0.22834687947056115,0.23095779978859995,-0.4074388824295078,-0.06149174653746673,1.0,0.4837648770882191,0.9901630317534759,-0.6149346737474819,0.5790780401627813
South Korea_cases,-0.26804079490121624,0.02863140102770491,-0.4804963293808551,-0.3318659672813575,-0.4297450877036458,0.4837648770882191,1.0,0.2544846998777326,0.10990719841605782,-0.055651824791129435
Iceland_cases,0.46210265712566045,-0.35163936109720506,0.15334661741331204,-0.36675700540848943,-0.06024048897665104,0.9901630317534759,0.2544846998777326,1.0,-0.5762316801184512,0.5779528095212084
Central African Republic_cases,-0.8475350361703967,-0.5804278195703788,-0.46081220204311873,0.9911999191512626,0.9157041126680202,-0.6149346737474819,0.10990719841605782,-0.5762316801184512,1.0,-0.8501395088367244
Turkey_cases,0.9963008098935987,0.7152865953443143,0.7800648722039086,-0.8768508893022772,-0.61812875573988,0.5790780401627813,-0.055651824791129435,0.5779528095212084,-0.8501395088367244,1.0
